X1 part
"Folks, thanks for taking the time to be here today. I really appreciate it. And we even have an astronaut in our house and I tell you what, that’s pretty cool. Look, first of all, I want to thank Chris and the mayor for being here, and all of you for being here. You know, these are tough times. Over 200,000 Americans have passed away. Over 200,000, and the number is still rising. The impact on communities is bad across the board, but particularly bad for African-American communities. Almost four times as likely, three times as likely to catch the disease, COVID, and when it’s caught, twice as likely to die as white Americans. It’s sort of emblematic of the inequality that exists and the circumstances that exist." Charlotte_part_1
"One of the things that really matters to me, is we could do … It didn’t have to be this bad. You have 30 million people on unemployment, you have 20 million people figuring whether or not they can pay their mortgage payment this month, and what they’re going to be able to do or not do as the consequence of that, and you’ve got millions of people who are worried that they’re going to be thrown out in the street because they can’t pay their rent. Although they’ve been given a reprieve for three months, but they have to pay double the next three months when it comes around." Charlotte_part_2
"How people going to do that? And the way, in fact, the Democratic House and the Senate passed, stepped up and passed a significant amount of money to help people get through the process, including keeping businesses open and the like. Well, guess what? They insisted there being a thing called an inspector general, somebody watching where every dollar went. The first thing the president of the United States did is fire that inspector general. There is no inspector. He’s fired. Fired. And so you got 40% of, only 40% of the money intended for small businesses going to small businesses. Only 40% of it. 60% has gone to the Mar-a-Lago crowd." Charlotte_part_3
"In addition to that, we find ourselves in a circumstance where the idea that we’re going to continue to provide for unemployment insurance for people is very much in doubt, although the House just passed a package today. My generic point is, that the University of Columbia pointed out, that if in fact the president had acted, even though we know now he knew exactly how bad the pandemic was back in February, he’s on tape with Bob Woodward saying he knew how bad it was, and he didn’t say a thing. He didn’t say a thing." Charlotte_part_4
"If he had spoken, as I said, they said at Columbia, one week earlier, 37,000 more people be alive today. We’re going to have another influx of cases, just between now and January, it’s expected that we’re going to have somewhere between, depending on which estimate you take, between 138 and 178,000 more deaths. And if people just do what we’re doing here, and when you’re at a social distance, as I am, you can take a mask off, but wear a mask. They estimate that would save about close to 89, 90,000 people. And so it’s about being responsible. It’s about being responsible. And we’re not being very responsible." Charlotte_part_5
"But what I want to talk to you about today is that we have to break a cycle. The cycle that exist is that the African-American community by and large finds itself at the bottom of the economic heap, businesses and others, when things are good. When things get bad, they’re the first ones in the hole. And when things get better, they’re the last ones out. In addition to that, we have a criminal justice system that needs significant repair. And we’re just only beginning, slightly, to make some progress now." Charlotte_part_6
"And thirdly, if you’re a business person, let me put it this way. Every person out there wants an opportunity to make it for their family. My dad used to have an expression, “Everybody’s entitled to be treated with dignity.” And then he said, “Joey, a job is about a lot more than a paycheck. It’s about your dignity. It’s about respect. It’s about your place in the community. It’s about being able to hold your head up. It’s about being able to look your kid in the eye and say, ‘Honey, everything’s going to be okay.'”" Charlotte_part_7
"For too many people, particularly in the African-American community, they can’t say that. That’s not able to be done. So one of the things that I want to talk with you about today, is how do we build wealth? Because ultimately, ultimately the African-American community only is going to have its place equal to everyone else when they’re in a position to be able to build wealth, be able to build wealth. And that goes for everything from access to being able to purchase a home, access to jobs, access to just being able to have an even shot. And that’s what I hope we’re going to talk a little about today." Charlotte_part_8
"It goes to education, as well as access to education, access beyond. Everything from a lot of poor whites and African-Americans, poor African-Americans and Hispanic live in Title I districts, meaning that they live in school districts that have very low tax base. And right now we spent $15 billion a year to compensate for that low tax base. I increased that to $45 billion. What it does, it keeps teachers in schools because we’re short teachers significantly. 125,000 teachers short right now. Be over half a million by 2023. In addition to that, we find ourselves in a circumstance where we used to have in our schools, in the old days, used to have one … Right now we don’t have any, we virtually have no school psychologists in our schools. And so teachers come in to school and they’re expected to solve every problem. Well, there’s one school psychologist for every 1,507 kids in school. It should be closer to one to 500. We can do that by increasing the money I just talked about from 15 to 45. And send every single child that’s three years old, four years old, and five years old, not to daycare, but to school. All the studies of the great universities in this state and every other have pointed out in the last eight years, that’ll increase by 58% their chances of going all the way through school, no matter what the ZIP code they come from, no matter where they are, and be able to do it without getting themselves in trouble." Charlotte_part_9
"And then we’re going to talk about, I think a big issue here is access to apprenticeships and access to community colleges and college, and the student debt requirements that are there. Hope we can talk about that. But I want to talk about basically one-" Charlotte_part_10
