X1 part
"That’s the commuter. All right. But folks, look, he let big corporation jump in front of the line to get the recovery aid that Congress had passed while small businesses are struggling to say open. In the end, his measure of economic health is the stock market. In four years as president, he’s broken his promise, he’s forgotten the forgotten Americans he said he was always going to fight for." Cleveland_part_1
"Think about his plan for your social security. The social security actuary said that if he follows through on his plan for social security, social security will be quote, “Bankrupt by 2023.” It clear that he not only cares about Wall Street and the super wealthy and the Fortune 500, he thinks they built this country. That’s why he wants another $30 billion tax cut for the hundred wealthiest billionaires in the country, who have already made $ 30 billion during this pandemic. So they’ll pay a lower tax rate than you do as a teacher, a factory worker, a firefighter, a nurse. He gave a tax giveaway for corporations and they moved jobs overseas to sell goods back to the United States. Here comes the train that he tried to make sure didn’t continue to run." Cleveland_part_2
"the Affordable Care Act in its entirety, wipe it out, taking us back to a time when insurance companies could deny you coverage for preexisting conditions. Now, because of COVID, lung scarring or heart problems is a consequence of having survived COVID. That could be the next pre-existing conditions affecting millions of people. Taking away Medicare benefits for seniors. Throw your adult kids off your healthcare insurance." Cleveland_part_3
"He hasn’t pulled Congress together to provide real relief for working people, moms, and dads, and business owners. The fact is Congress has passed a significant recovery bill, but he’s too busy being in a bunker, or in his golf course to call them into the White House to work out an agreement. He told FEMA to cut off funding for school PPE, masks, and protective gear, because it’s not a national emergency. His response during the deadly pandemic is to try to take your healthcare away by asking the Supreme Court to strike the Affordable Care Act in its entirety. Wipe it out." Cleveland_part_4
"And you said it to me, he said, “Don’t move. Don’t sell your house because no Ohio factory will shut down in Donald Trump’s America.” He doesn’t pay his fair share, don’t worry about that. He doesn’t pay his fair share in taxes. He says that makes him smart. What does that do? What does that make you, Tiffany, make me, and millions of other hard working Americans, decent people who pay our taxes? Are we the suckers? Are we stupid because we go by the rules? He’s too weak to beat the pandemic. Cost him more than 200,000 American lives. That’s upended every part of our lives and hit working people particularly hard. Your businesses are closed and schools aren’t back to normal because Donald Trump hasn’t done his job." Cleveland_part_5
"The fact is that I think that when he called our military, and I see we got some veterans here too, thank you for your service man, but when he called our veterans who lost their lives and served suckers and losers, I thought it was one of the most despicable things that I’ve ever heard a President say. Guys you are soldiers or a veteran, you served your country, like you did, like you did Connor, like my son did. What he does, he lies to you. He lies to you about exactly what’s happened. Does he lie to you when, like this president did to your husband, that all the workers at GM plant in Lordstown were going to be in good shape. You remember what he said?" Cleveland_part_6
"The fact is that last night’s debate, and this election, is supposed to be about you, Tiffany, about you and all the people I grew up with in Scranton, and people in Youngstown, and Claymont, Delaware, and all the people who make a difference. Does any President, does your President understand at all what you’re going through, what so many other people are going through? Question is does he see you where you are and where you want to be? Does he care? As he tried to walk in your shoes, to understand what’s going on in your life? Or does he just ignore you and all the folks all over America who are in a similar situation? I think he’s more than ignoring us. I look at things from Scranton’s perspective, he looks at from Park Avenue. I think he basically looks down on us. He judges us." Cleveland_part_7
"I want to start off by saying that it’s great to be in Ohio and with my so many friends, members of Congress, local elected officials. It’s an honor to be here with Tiffany. I know how hard it is for her. And I say I know, I was in the position of her children. My dad went through the same thing, Mr. Mayor. Back in Scranton, Pennsylvania, he lost his job. And I remember him walking up the stairs, making what I call that longest walk a parent has to make to tell a child that he’s going to have to leave. My dad didn’t have an eight hour ride. He only had a three hour ride, three and a half hour ride. He moved to Wilmington, Delaware. Took a couple of years before he could bring us back down to Delaware, come home every weekend, but to make sure that we’re all together again. It’s a hard slog. A lot of people have made that. And Tiffany, you’re a wonderful, wonderful mother, teacher, and the way you talk about your husband, he and I have something in common. We both married way up. I want to say that my dad, when he was, I apologize to Congressman Lamb, he’s heard me say this a lot, but my dad, when we moved back to Delaware, moved to Delaware, would say all the time to his children, my siblings and I, he’d say, “Joey, a job’s about a lot more than a paycheck. It’s about your dignity. It’s about respect. It’s about being able to hold your head up. It’s being able to look your child in the eye and say, it’s going to be okay. That’s what a job is about.” And Tiffany, when I think about your husband taking that job eight hours away, although it’s a hundred years ago, I think about my dad, and I imagine your husband has the same stamina, and you do, as my mom and dad did." Cleveland_part_8
"Hey everybody. I have to tell y’all, it’s great to see you.Hello Cleveland. Don’t jump. Folks, I was reminiscing as we drove to the station, I spent the bulk of my adult life driving to an Amtrak station. I commuted every day from Wilmington, Delaware to Washington DC when I got elected as a young Senator, right after my wife and daughter were killed, and I didn’t plan on staying in the Senate, but I agreed I’d stay for six months, a long time ago, and I started commuting and the fact is they tell me I’ve logged more than 2,100,000 miles on Amtrak. So it’s good to be here. It’s not as fast as the helicopter, but I made a lot of family and friends on Amtrak. So I’m looking forward to getting on the train with you guys." Cleveland_part_9
"I’ll fight for American jobs with the dignity of work and make the wealthy and corporations began to pay their fair share. I’ll protect your right to healthcare and build on and improve the Affordable Care Act and I’ll always tell you the truth. I’ll always care about you, whether you vote for me or not. If elected, I’m not going to be a Democratic president, I’m going to be an American president. Whether you voted for me or not, I’m going to be your president and I’ll never forget the people, the working people of this country, because that’s what I’ve come from. That, given just half a chance, the American people can do anything. Just like you, Tiffany, and your husband, you’ve stood up. You can do anything. I want to make something absolutely clear. There’s overwhelming reason for optimism. Reverend, as you said, there’s overwhelming reason. We just have to unite. The country is ready to do that. We’re better positioned than any nation in the world to own the 21st century, we just have to do it and do it together. So I leave you Rev and thank you for your invocation by saying, God bless you all and may God protect our troops. Thank you. Thank you. Thank you. Keep the faith. We’re coming back. Thank you." Cleveland_part_10
