X1 part
"I had the honor of paying respects to Justice Ginsburg and her family. First woman, first woman in history of our nation to lie in state in the US Capitol. And though it should not have taken nearly this long to bestow that honor on a woman, it nevertheless speaks to the unique and powerful impact Justice Ginsburg has made in our society and her enduring legacy of equal rights and equal justice under the law." Philadelphia_part_1
"But yesterday, before justice Ginsburg could be laid to rest and after a hundred thousands of Americans had already cast their ballots, the president nominated a successor to her seat. It’s no mystery about what’s happening here. President Trump is trying to throw out the Affordable Care Act. He’s been trying to do it for the last four years. The Republican party has been trying to eliminate it for a decade. Twice, already, the Supreme Court has upheld that law, the Affordable Care Act. And the Congress, expressing the popular will of the American people, has rejected President Trump’s efforts, as well." Philadelphia_part_2
"Now, all of a sudden, this administration believes they found a loophole in the tragedy of Justice Ginsburg’s death. It doesn’t matter to them the Republicans set the precedent just four years ago, when they denied even the courtesy of a hearing to President Obama’s nominee after Justice Scalia passed, after he had only passed away nine the months prior to election day. Didn’t matter to them that millions of Americans already voting on a new president and a new Congress had begun." Philadelphia_part_3
"All that does matter is that they see an opportunity to overturn the Affordable Care Act on their way out the door. And as I speak, we are still in the midst of the worst global health crisis in a century, a crisis that has already taken over 200,000 lives, between 750 and 1,000 lives a day and counting. And yet, the Trump administration is asking the Supreme Court right now, as I speak, to eliminate the entire Affordable Care Act. The administration filed a brief in the Supreme Court that concludes, and I quote, “The entire ACA, thus, must fall. The entire ACA, thus, must fall.”" Philadelphia_part_4
"President Trump can claim all he wants that he’s going to protect people with pre-existing conditions. But the fact is he’s already fighting to take those protections away as we speak. If he has his way, more than 100 million people with pre-existing conditions like asthma, diabetes, and cancer could once again be denied coverage. Complications from COVID-19 like lung scarring and heart damage could become the next flood of pre-existing conditions used as an excuse to deny coverage to millions of people. Women could once again be charged higher premiums just because they are women. Pregnancy becoming a pre-existing condition, again. Seniors would see their prescription drug prices go up and the funding for Medicare go down." Philadelphia_part_5
"It doesn’t matter. It doesn’t matter what the American people want. President Trump sees a chance to fulfill his explicit mission: steal away the vital protections of the ACA from countless families who’ve come to rely on them for their health, their financial security, and the lives of those they love. President Trump just tweeted an hour ago, on my way here, and I quote, “Obamacare will be replaced with a much better and far cheaper alternative. If it is terminated in the Supreme Court, it would be a big win for the USA.” Should come as no surprise." Philadelphia_part_6
"And then, Saturday, President Trump would nominate Judge Amy Coney Barrett and, on Sunday, lay out clearly what his objective is: to terminate Obamacare. The judge has a written track record, a written track record of disagreeing adamantly with the Supreme Court’s decisions on two occasions upholding the ACA. In fact, not as a judge, but prior to going on the bench, she publicly criticized Chief Justice Roberts’ opinion upholding the law eight years ago." Philadelphia_part_7
"The American people understand the urgency of this moment. They’re already voting in droves because they know their healthcare hangs in the balance. They understand that, if Donald Trump gets his way, they could lose their right to vote, their right to clean air and water, their right to equal pay for equal work. Workers could lose their collective bargaining rights. Dreamers could be thrown out of the only country they’ve ever known. And women could lose the bedrock rights enshrined in Roe v. Wade for 50 years. People are voting right now because they know the very soul of this country is at stake and because they know that the decisions of the Supreme Court affect their everyday lives." Philadelphia_part_8
"Their voices may not matter to Donald Trump. They may not matter to Mitch McConnell. But there are Senate Republicans out there who know, in their hearts, that if they shut out the voices of those during a voting period, during an election, they’re closing the door on American democracy thereafter. This is where the power of the nation resides, in the people, in the rule of law, in precedents we abide by. To subvert both, openly and needlessly, even as Americans cast their vote, would be an irreversible step toward the brink and a betrayal of a single quality that America has borne and built on. The people decide." Philadelphia_part_9
"The Senate has to stand strong for our democracy. They must not act on this nomination until the American people finish the process they’re already begun, of selecting their president and their Congress. And I’ve said before, if the people choose Donald Trump, then the Senate should give his nominee a hearing and a vote. If the people do not choose Trump and choose me, President Trump’s nomination should be withdrawn. I should nominate… chosen by a president who’s just been elected by the people… to get a fair hearing, which would not even occur until early February… a confirmation vote." Philadelphia_part_10
